seed,arm,round,n_labeled,n_pool_remaining,test_n,rmse,mae,r2,spearman_r,spearman_p
55,random,3,409,2177,555,1.1285999083445943,0.8751452102219345,0.5446033393203726,0.7362246269688923,7.67389425820304e-96
55,random,4,459,2127,555,1.1076281202923548,0.8554227642760911,0.5613705710653347,0.7485330173949909,9.724397667401351e-101
55,random,5,509,2077,555,1.1148983770226204,0.8556991835603145,0.5555935158968477,0.7479254255130854,1.7229424313434646e-100
55,random,6,559,2027,555,1.105042089985291,0.842736676019465,0.5634163566757757,0.7512215452257271,7.58669721969525e-102
55,random,7,609,1977,555,1.0956699495222901,0.84037502291946,0.570790504317839,0.7603013085994911,1.0744611348254606e-105
55,random,8,659,1927,555,1.102647504878172,0.8337167693105125,0.5653064276306627,0.7550565489946386,1.8836896117308604e-103
55,random,9,709,1877,555,1.0949134046709894,0.8337271497369939,0.5713830260497876,0.759080337961738,3.619799667588362e-105
55,random,10,759,1827,555,1.0753544169866511,0.8162484920926909,0.5865594526156483,0.7680076197109756,4.2395483816766702e-109
55,random,11,809,1777,555,1.0659777364555192,0.8032994433918409,0.593738105900137,0.7730931858389328,2.0311641279764508e-111
55,random,12,859,1727,555,1.067640247937376,0.806074733035463,0.5924698960058306,0.774115091153803,6.828642711971436e-112
55,random,13,909,1677,555,1.059306448887431,0.8017932058560137,0.5988072716562783,0.7754113152238576,1.699210232707123e-112
55,random,14,959,1627,555,1.0560535775562812,0.7936351587189474,0.6012674183193552,0.7802861945212217,8.348693714036377e-115
55,random,15,1009,1577,555,1.0567014762954585,0.7941166376116244,0.6007780159084855,0.7808606504249285,4.422500447926648e-115
55,random,16,1059,1527,555,1.0403151278914213,0.7861437592129822,0.6130635452681827,0.7852835217621462,3.1094651173954798e-117
55,random,17,1109,1477,555,1.0424944844631483,0.7814898744551482,0.6114406604926366,0.7858506110383019,1.6328323183358823e-117
55,random,18,1159,1427,555,1.027367408460406,0.7767496788620092,0.6226351985819443,0.7905903896922158,6.934044826238125e-120
55,random,19,1209,1377,555,1.0220101589927535,0.7745529342929524,0.6265605059440469,0.7902678428709279,1.0100588834295205e-119
55,random,20,1259,1327,555,1.0273325798865456,0.7756511835814298,0.6226607840832361,0.7903051128279435,9.671310575050617e-120
55,uncertainty,0,259,2327,555,1.1769419869129742,0.9289150401559797,0.5047551897663565,0.7143902248957729,8.477703151283817e-88
55,uncertainty,1,309,2277,555,1.168981518055803,0.9189058121953079,0.511431896714192,0.7275717954274862,1.465859217887439e-92
55,uncertainty,2,359,2227,555,1.1225095505425948,0.8848276985071767,0.549505067688541,0.7563956182663332,5.099836667827095e-104
55,uncertainty,3,409,2177,555,1.1120662853195988,0.8754915233321717,0.5578484323616966,0.7668510840357767,1.4013426964514365e-108
55,uncertainty,4,459,2127,555,1.1029031939324718,0.8651905110505818,0.5651048051273511,0.7765261900637063,5.098316803077146e-113
55,uncertainty,5,509,2077,555,1.060890745957818,0.8300753014715005,0.597606327826744,0.7866188520799776,6.801532903543099e-118
55,uncertainty,6,559,2027,555,1.0382942501012233,0.8123386130255212,0.6145653821093067,0.7984947171810337,5.5622392774408535e-124
55,uncertainty,7,609,1977,555,1.0310893503469372,0.800915166480262,0.6198960148946895,0.7949396124343647,4.070841908175678e-122
55,uncertainty,8,659,1927,555,1.0362202305198291,0.7987632913895368,0.6161036753913028,0.7922087745101053,1.0397959706920068e-120
55,uncertainty,9,709,1877,555,1.021801556833727,0.7873686016328444,0.6267129356120686,0.7996107502412417,1.4197643849629814e-124
55,uncertainty,10,759,1827,555,1.020654596249526,0.780864496598209,0.6275504862153872,0.796701862259921,4.899371294273428e-123
55,uncertainty,11,809,1777,555,1.0242990983822045,0.7894296626341151,0.6248858893816802,0.7901365077016941,1.1770133962465305e-119
55,uncertainty,12,859,1727,555,1.0275922376786237,0.7878610032019622,0.622470015384437,0.788915638150171,4.853713224640833e-119
55,uncertainty,13,909,1677,555,1.0087831275465637,0.7722432953543589,0.6361641913566368,0.798831338134567,3.687838722723939e-124
55,uncertainty,14,959,1627,555,1.005861778704829,0.762749675542163,0.6382684142930337,0.7998906183971665,1.0067262175490788e-124
55,uncertainty,15,1009,1577,555,0.9929182437255825,0.753294687660275,0.6475181158876477,0.8075039868926791,7.044452509042157e-129
55,uncertainty,16,1059,1527,555,1.0034025143323329,0.7597896511732665,0.640035070749608,0.8023961298151508,4.524748933699197e-126
55,uncertainty,17,1109,1477,555,0.9945523020534233,0.7518262300640699,0.6463569932930904,0.8074798397530658,7.266384792414476e-129
55,uncertainty,18,1159,1427,555,0.9959213619518096,0.7594237419404612,0.6453827022595007,0.8067955070086185,1.747028096279511e-128
55,uncertainty,19,1209,1377,555,0.987085093145885,0.7479997812493286,0.6516474396010717,0.8089237895653185,1.1282262693183874e-129
55,uncertainty,20,1259,1327,555,0.9841354235658232,0.7444888927801202,0.6537262668479232,0.8110197472447166,7.342535551679447e-131
