feature_set,split_type,split,model,n,rmse,mae,r2,spearman_r,spearman_p
Morgan_2048,random,test,LightGBM,555,0.7203105733472164,0.5239272300187995,0.8314641820836557,0.9111082971308766,5.083525759417008e-215
RDKit_2D_raw,random,train,RandomForest,2586,0.3559226032488059,0.2632893054718321,0.9567007502820801,0.9841867127408465,0.0
RDKit_2D_raw,random,valid,RandomForest,554,0.8935835119248575,0.6990978882696929,0.7267824844732443,0.8604086803990698,9.741436403335883e-164
RDKit_2D_raw,random,test,RandomForest,555,0.8681294291923545,0.6756362087289591,0.7551942630243125,0.8788242640864631,7.589334442590433e-180
RDKit_2D_raw,random,train,XGBoost,2586,0.24216116485156752,0.1620948612689972,0.9799562692642212,0.9899094131309468,0.0
RDKit_2D_raw,random,valid,XGBoost,554,0.8270585372692654,0.617493212223053,0.7659488916397095,0.8730075918501151,2.838476639547613e-174
RDKit_2D_raw,random,test,XGBoost,555,0.7990626431592948,0.600205659866333,0.7925973534584045,0.8880323376207013,9.385487889216624e-189
RDKit_2D_raw,random,train,LightGBM,2586,0.1745165067565723,0.07579081197922266,0.9895902031283215,0.9946181313979082,0.0
RDKit_2D_raw,random,valid,LightGBM,554,0.8384549698618661,0.6343145823220947,0.7594542262790749,0.8699714387471924,1.2364227001009344e-171
RDKit_2D_raw,random,test,LightGBM,555,0.8019464408014023,0.5984749680225511,0.7910976324577257,0.888565123737368,2.7121633395455793e-189
Morgan_plus_RDKit_2D_raw,random,train,RandomForest,2586,0.33698321108847806,0.24437427213640026,0.9611862359658631,0.9851581981626081,0.0
Morgan_plus_RDKit_2D_raw,random,valid,RandomForest,554,0.8143831578931133,0.6339863882503519,0.7730679630587396,0.8860693067733629,1.8614303578864823e-186
Morgan_plus_RDKit_2D_raw,random,test,RandomForest,555,0.8158500996076826,0.6215936711683537,0.7837911955647493,0.8915223916584084,2.454490168276474e-192
Morgan_plus_RDKit_2D_raw,random,train,XGBoost,2586,0.3232061129720736,0.2395056188106537,0.9642950296401978,0.9825794163960448,0.0
Morgan_plus_RDKit_2D_raw,random,valid,XGBoost,554,0.7681941697937023,0.5771691203117371,0.7980796098709106,0.8937736877477458,2.3012275354222817e-194
Morgan_plus_RDKit_2D_raw,random,test,XGBoost,555,0.7604916592202647,0.5645455121994019,0.8121368885040283,0.8982710066748334,1.2627156076331748e-199
Morgan_plus_RDKit_2D_raw,random,train,LightGBM,2586,0.1716512453033424,0.07283055289693667,0.9899292190520301,0.9948192186727561,0.0
Morgan_plus_RDKit_2D_raw,random,valid,LightGBM,554,0.78880354958712,0.5903885551649929,0.7870998551956554,0.8861712541032291,1.4756053170639345e-186
Morgan_plus_RDKit_2D_raw,random,test,LightGBM,555,0.7607548997264393,0.5626874089720453,0.8120067959501553,0.8976097138231562,6.884268535208823e-199
