activity_id,molecule_chembl_id,canonical_smiles,activity_type_source,standard_type,standard_relation,standard_value,standard_value_num,standard_units,pActivity,pchembl_value,assay_type,assay_chembl_id,assay_description,target_chembl_id,target_pref_name,document_chembl_id
149365,CHEMBL293425,CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4[nH]3)CC2)cc1,IC50,IC50,=,590.0,590.0,nM,6.229147988357855,6.23,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
149935,CHEMBL276989,N=C(N)c1ccc2cc(CC(C(=O)O)c3ccc(O[C@H]4CCNC4)cc3)oc2c1,IC50,IC50,=,1700.0,1700.0,nM,5.769551078621726,5.77,B,CHEMBL659605,In vitro evaluation for the concentration needed for inhibiting factor Xa by 50%,CHEMBL244,Coagulation factor X,CHEMBL1127638
150598,CHEMBL63369,N=C(c1ccc(CN2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2=O)cc1)N1CCCC1,IC50,IC50,=,140.0,140.0,nM,6.853871964321762,6.85,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
151831,CHEMBL293682,CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4s3)CC2)cc1,IC50,IC50,=,270.0,270.0,nM,6.568636235841012,6.57,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
151832,CHEMBL292254,N=C(c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2)cc1)N1CCCC1,IC50,IC50,=,84.0,84.0,nM,7.075720713938118,7.08,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
151833,CHEMBL63307,COC(=O)CC1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CCN1C(=O)c1ccc(C2=NCCN2C)cc1,IC50,IC50,=,13.0,13.0,nM,7.886056647693163,7.89,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
151834,CHEMBL305394,CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2CC(=O)N2CCN(c3ccncc3)CC2)cc1,IC50,IC50,=,8.0,8.0,nM,8.096910013008056,8.10,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
153068,CHEMBL417738,N=C(c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2)cc1)N1CCC1,IC50,IC50,=,24.0,24.0,nM,7.619788758288394,7.62,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
153069,CHEMBL445616,CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2CC(=O)N2CCOCC2)cc1,IC50,IC50,=,11.0,11.0,nM,7.958607314841775,7.96,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
153070,CHEMBL65219,CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2CC(=O)N2CCOCC2)cc1,IC50,IC50,=,15.0,15.0,nM,7.823908740944319,7.82,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
155404,CHEMBL65816,CCN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2)cc1,IC50,IC50,=,12.0,12.0,nM,7.920818753952375,7.92,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
155405,CHEMBL62279,CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2CC(=O)N2CCCC2)cc1,IC50,IC50,=,7.0,7.0,nM,8.154901959985743,8.15,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
156038,CHEMBL280157,N=C(N)c1ccc2oc(CC(C(=O)O)c3ccc(O[C@H]4CCNC4)cc3)cc2c1,IC50,IC50,=,1500.0,1500.0,nM,5.823908740944319,5.82,B,CHEMBL659605,In vitro evaluation for the concentration needed for inhibiting factor Xa by 50%,CHEMBL244,Coagulation factor X,CHEMBL1127638
156061,CHEMBL19660,CC(=N)N1CC[C@H](Oc2ccc(C(Cc3ccc4ccc(C(=N)N)cc4c3)C(=O)O)cc2)C1,IC50,IC50,=,160.0,160.0,nM,6.795880017344075,6.80,B,CHEMBL659605,In vitro evaluation for the concentration needed for inhibiting factor Xa by 50%,CHEMBL244,Coagulation factor X,CHEMBL1127638
161612,CHEMBL293248,CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2CC(N)=O)cc1,IC50,IC50,=,18.0,18.0,nM,7.7447274948966935,7.75,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
161613,CHEMBL65506,CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2CC(=O)N2CCCCC2)cc1,IC50,IC50,=,6.0,6.0,nM,8.221848749616356,8.22,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
161614,CHEMBL294782,CN1CCN=C1c1ccc(CN2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2=O)cc1,IC50,IC50,=,57.0,57.0,nM,7.2441251443275085,7.24,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
161615,CHEMBL303790,N=C(c1ccc(CN2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2=O)cc1)N1CCCCC1,IC50,IC50,=,150.0,150.0,nM,6.823908740944319,6.82,B,CHEMBL659609,In vitro inhibitory activity against Coagulation factor X was determined,CHEMBL244,Coagulation factor X,CHEMBL1137970
162090,CHEMBL19139,N=C(N)c1ccc2ccc(CC(C(=O)O)c3ccc(O[C@H]4CCNC4)cc3)cc2c1,IC50,IC50,=,200.0,200.0,nM,6.698970004336019,6.70,B,CHEMBL659605,In vitro evaluation for the concentration needed for inhibiting factor Xa by 50%,CHEMBL244,Coagulation factor X,CHEMBL1127638
162178,CHEMBL279962,N=C(N)c1ccc2oc(CCc3cc4cc(C(=N)N)ccc4o3)cc2c1,IC50,IC50,=,100.0,100.0,nM,7.0,7.00,B,CHEMBL659605,In vitro evaluation for the concentration needed for inhibiting factor Xa by 50%,CHEMBL244,Coagulation factor X,CHEMBL1127638
